State,Date,%Retail/Rec Change,%Grocery/Pharm Change,%Parks Change,%Transit Change,%Workplace Change,%Residential Change
Delaware,2020-04-05,-47,-27,37,-56,-39,12
Delaware,2020-04-06,-37,-22,36,-45,-47,18
Delaware,2020-04-07,-39,-21,15,-49,-49,20
Delaware,2020-04-08,-38,-19,36,-44,-50,20
Delaware,2020-04-09,-39,-19,-13,-52,-51,21
Delaware,2020-04-10,-42,-21,-33,-58,-57,25
Delaware,2020-04-11,-41,-16,26,-48,-37,14
Delaware,2020-04-12,-65,-41,-5,-61,-46,12
Delaware,2020-04-13,-50,-33,-44,-61,-53,23
Delaware,2020-04-14,-36,-17,7,-49,-48,20
Delaware,2020-04-15,-34,-15,-6,-46,-49,20
Delaware,2020-04-16,-36,-16,-11,-47,-49,20
Delaware,2020-04-17,-40,-22,-18,-52,-48,22
Delaware,2020-04-18,-45,-23,-27,-49,-35,15
Delaware,2020-04-19,-42,-21,26,-53,-37,11
Delaware,2020-04-20,-37,-21,-13,-45,-48,19
Delaware,2020-04-21,-38,-19,-13,-51,-48,20
Delaware,2020-04-22,-35,-15,0,-44,-48,19
Delaware,2020-04-23,-38,-18,-17,-49,-49,21
Delaware,2020-04-24,-42,-24,-46,-56,-49,24
Delaware,2020-04-25,-37,-16,,-37,-30,11
Delaware,2020-04-26,-48,-24,-53,-60,-39,13
Delaware,2020-04-27,-36,-17,-23,-48,-46,19
Delaware,2020-04-28,-31,-14,27,-40,-47,13
Delaware,2020-04-29,-32,-15,14,-42,-48,18
Delaware,2020-04-30,-38,-20,-32,-48,-48,21
Delaware,2020-05-01,-33,-14,-5,-42,-46,20
Delaware,2020-05-02,-32,-11,,-26,-28,10
Delaware,2020-05-03,-37,-14,20,-44,-34,9
Delaware,2020-05-04,-26,-11,19,-41,-44,16
Delaware,2020-05-05,-25,-8,9,-38,-45,17
Delaware,2020-05-06,-34,-15,-29,-44,-46,19
Delaware,2020-05-07,-27,-7,34,-38,-45,17
Delaware,2020-05-08,-33,-11,-22,-47,-45,20
Delaware,2020-05-09,-31,0,,-37,-25,11
Delaware,2020-05-10,-27,-6,27,-41,-29,7
Delaware,2020-05-11,-31,-16,-11,-44,-43,17
Delaware,2020-05-12,-27,-9,14,-41,-43,17
Delaware,2020-05-13,-26,-10,35,-37,-43,17
Delaware,2020-05-14,-26,-8,32,-36,-44,15
Delaware,2020-05-15,-27,-9,49,-40,-43,17
Delaware,2020-05-16,-29,-7,,-28,-23,8
Delaware,2020-05-17,-32,-11,26,-42,-27,8
Delaware,2020-05-18,-25,-12,1,-39,-41,16
Delaware,2020-05-19,-22,-6,21,-38,-42,16
Delaware,2020-05-20,-25,-7,17,-35,-42,16
Delaware,2020-05-21,-21,-3,46,-32,-42,16
Delaware,2020-05-22,-30,-9,-13,-45,-43,19
Delaware,2020-05-23,-28,-4,,-30,-19,9
Delaware,2020-05-24,-27,-6,51,-40,-25,7
Delaware,2020-05-25,-29,-12,83,-51,-71,21
Delaware,2020-05-26,-23,-7,60,-34,-40,14
Delaware,2020-05-27,-22,-6,60,-28,-40,14
Delaware,2020-05-28,-23,-6,21,-33,-40,16
Delaware,2020-05-29,-26,-9,28,-36,-38,17
Delaware,2020-05-30,-25,-3,,-15,-12,7
Delaware,2020-05-31,-23,-4,100,-27,-15,5
Delaware,2020-06-01,-11,-3,53,-30,-37,12
Delaware,2020-06-02,-12,-1,57,-31,-37,13
Delaware,2020-06-03,-13,-2,65,-29,-38,13
Delaware,2020-06-04,-10,2,72,-27,-38,13
Delaware,2020-06-05,-16,-2,,-32,-37,14
Delaware,2020-06-06,-12,5,,-20,-10,5
Delaware,2020-06-07,-9,3,160,-22,-14,3
Delaware,2020-06-08,-6,1,90,-27,-35,11
Delaware,2020-06-09,-4,3,112,-26,-36,11
Delaware,2020-06-10,-7,1,84,-25,-37,12
Delaware,2020-06-11,-9,-2,34,-30,-38,14
Delaware,2020-06-12,-8,3,,-24,-35,11
Delaware,2020-06-13,-5,8,,-8,-7,3
Delaware,2020-06-14,-2,6,160,-18,-12,3
Delaware,2020-06-15,0,2,80,-24,-34,10
Delaware,2020-06-16,1,4,107,-22,-35,11
Delaware,2020-06-17,-3,0,56,-23,-36,12
Delaware,2020-06-18,-1,4,98,-18,-36,11
Delaware,2020-06-19,-5,3,,-22,-38,10
Delaware,2020-06-20,-5,10,,-4,-9,4
Delaware,2020-06-21,-4,8,147,-13,-10,2
Delaware,2020-06-22,-2,0,105,-21,-37,10
Delaware,2020-06-23,0,4,128,-22,-37,10
Delaware,2020-06-24,0,4,133,-16,-35,10
Delaware,2020-06-25,0,5,109,-12,-36,10
Delaware,2020-06-26,-5,4,,-19,-34,10
Delaware,2020-06-27,-7,6,,-1,-8,3
Delaware,2020-06-28,-4,4,151,-13,-9,3
Delaware,2020-06-29,2,4,118,-20,-34,9
Delaware,2020-06-30,4,8,138,-19,-35,10
Delaware,2020-07-01,4,8,93,-16,-36,10
Delaware,2020-07-02,11,19,156,-8,-37,9
Delaware,2020-07-03,3,17,,-27,-54,15
Delaware,2020-07-04,-23,1,,-22,-23,4
Delaware,2020-07-05,-10,1,140,-17,-14,3
Delaware,2020-07-06,-1,4,83,-22,-39,11
Delaware,2020-07-07,2,7,113,-17,-37,10
Delaware,2020-07-08,-2,4,123,-22,-36,10
Delaware,2020-07-09,0,7,117,-20,-36,10
Delaware,2020-07-10,-18,-11,14,-37,-38,16
Delaware,2020-07-11,-6,7,,-5,-7,4
Delaware,2020-07-12,-6,4,151,-14,-10,2
Delaware,2020-07-13,-1,4,106,-24,-35,9
Delaware,2020-07-14,1,4,148,-21,-36,10
Delaware,2020-07-15,0,4,119,-22,-35,10
Delaware,2020-07-16,1,7,129,-17,-36,10
Delaware,2020-07-17,-5,4,,-22,-35,11
Delaware,2020-07-18,-6,8,,-5,-7,3
Delaware,2020-07-19,-6,5,131,-14,-12,3
Delaware,2020-07-20,-2,3,79,-24,-36,10
Delaware,2020-07-21,0,4,114,-25,-36,10
Delaware,2020-07-22,-6,-1,70,-27,-36,11
Delaware,2020-07-23,0,6,101,-21,-35,10
Delaware,2020-07-24,-7,1,,-27,-35,12
Delaware,2020-07-25,-6,7,,-4,-8,3
DC,2020-02-15,-2,-2,13,-2,-2,-1
DC,2020-02-16,6,-1,37,3,0,-1
DC,2020-02-17,-10,-12,21,-39,-52,11
DC,2020-02-18,-5,-2,13,-3,-5,1
DC,2020-02-19,-2,-3,7,-3,-5,1
DC,2020-02-20,1,-6,10,-1,-5,2
DC,2020-02-21,-3,-11,7,-3,-5,2
DC,2020-02-22,0,4,25,5,2,-1
DC,2020-02-23,3,2,25,7,3,-1
DC,2020-02-24,-2,-7,11,2,5,1
DC,2020-02-25,3,-6,9,5,2,0
DC,2020-02-26,3,-3,-7,6,1,0
DC,2020-02-27,5,-6,-5,6,0,0
DC,2020-02-28,3,-3,-5,3,1,-1
DC,2020-02-29,-6,-2,-9,-5,1,-1
DC,2020-03-01,2,2,0,2,2,-2
DC,2020-03-02,0,-2,-1,4,5,0
DC,2020-03-03,8,3,2,3,3,-1
DC,2020-03-04,14,5,8,5,1,-1
DC,2020-03-05,8,1,6,3,1,0
DC,2020-03-06,2,-2,-6,1,0,1
DC,2020-03-07,1,3,8,3,0,-1
DC,2020-03-08,11,5,33,9,1,-1
DC,2020-03-09,6,5,31,0,1,1
DC,2020-03-10,5,3,13,-3,-1,0
DC,2020-03-11,0,3,5,0,-5,2
DC,2020-03-12,-4,11,0,-13,-9,3
DC,2020-03-13,-12,14,-5,-21,-15,5
DC,2020-03-14,-28,5,-26,-30,-9,4
DC,2020-03-15,-35,-7,-43,-39,-17,6
DC,2020-03-16,-31,-1,-35,-43,-40,16
DC,2020-03-17,-40,-6,-22,-55,-52,19
DC,2020-03-18,-45,-13,-32,-59,-56,21
DC,2020-03-19,-46,-11,-18,-63,-58,22
DC,2020-03-20,-50,-10,-16,-62,-56,22
DC,2020-03-21,-60,-14,-19,-59,-38,13
DC,2020-03-22,-60,-24,-25,-64,-42,12
DC,2020-03-23,-59,-32,-66,-72,-63,27
DC,2020-03-24,-55,-24,-46,-71,-64,25
DC,2020-03-25,-61,-31,-68,-75,-67,28
DC,2020-03-26,-58,-25,-42,-73,-66,27
DC,2020-03-27,-59,-27,-45,-70,-64,27
DC,2020-03-28,-68,-30,-69,-70,-47,17
DC,2020-03-29,-64,-30,-41,-68,-47,14
DC,2020-03-30,-57,-26,-47,-72,-65,26
DC,2020-03-31,-61,-32,-65,-77,-69,28
DC,2020-04-01,-58,-26,-62,-76,-70,28
DC,2020-04-02,-61,-30,-58,-77,-70,29
DC,2020-04-03,-60,-26,-57,-74,-67,29
DC,2020-04-04,-67,-27,-65,-71,-48,17
DC,2020-04-05,-66,-33,-50,-71,-49,15
DC,2020-04-06,-60,-33,-51,-75,-68,28
DC,2020-04-07,-63,-34,-61,-78,-71,28
DC,2020-04-08,-62,-31,-57,-77,-71,28
DC,2020-04-09,-64,-36,-67,-78,-71,30
DC,2020-04-10,-65,-34,-74,-77,-70,31
DC,2020-04-11,-69,-28,-65,-69,-48,17
DC,2020-04-12,-72,-41,-61,-73,-51,15
DC,2020-04-13,-67,-41,-70,-79,-71,30
DC,2020-04-14,-62,-31,-58,-77,-69,28
DC,2020-04-15,-61,-29,-61,-77,-70,28
DC,2020-04-16,-64,-33,-61,-79,-71,30
DC,2020-04-17,-64,-32,-61,-76,-67,29
DC,2020-04-18,-70,-31,-69,-71,-47,18
DC,2020-04-19,-67,-33,-48,-71,-48,15
DC,2020-04-20,-62,-34,-55,-76,-68,28
DC,2020-04-21,-63,-33,-61,-78,-69,28
DC,2020-04-22,-61,-31,-57,-77,-70,28
DC,2020-04-23,-65,-36,-69,-78,-70,30
DC,2020-04-24,-65,-34,-69,-77,-69,30
DC,2020-04-25,-68,-28,-56,-69,-47,16
DC,2020-04-26,-69,-39,-73,-74,-51,16
DC,2020-04-27,-62,-34,-60,-76,-68,28
DC,2020-04-28,-62,-32,-66,-77,-69,22
DC,2020-04-29,-58,-26,-50,-76,-69,26
DC,2020-04-30,-66,-39,-77,-81,-71,31
DC,2020-05-01,-59,-23,-56,-74,-66,27
DC,2020-05-02,-62,-18,-23,-64,-41,13
DC,2020-05-03,-64,-30,-56,-71,-44,14
DC,2020-05-04,-57,-25,-47,-74,-66,25
DC,2020-05-05,-56,-26,-61,-76,-68,26
DC,2020-05-06,-62,-31,-72,-78,-69,29
DC,2020-05-07,-57,-23,-45,-74,-68,26
DC,2020-05-08,-63,-27,-67,-74,-66,28
DC,2020-05-09,-64,-18,-66,-68,-42,15
DC,2020-05-10,-60,-22,-34,-67,-40,11
DC,2020-05-11,-62,-33,-62,-75,-67,27
DC,2020-05-12,-59,-27,-54,-75,-67,26
DC,2020-05-13,-57,-24,-43,-74,-66,26
DC,2020-05-14,-59,-28,-50,-75,-67,27
DC,2020-05-15,-58,-23,-37,-71,-64,25
DC,2020-05-16,-62,-20,-32,-63,-39,12
DC,2020-05-17,-63,-30,-43,-68,-40,13
DC,2020-05-18,-59,-31,-56,-74,-65,27
DC,2020-05-19,-57,-26,-53,-75,-66,25
DC,2020-05-20,-58,-26,-53,-74,-66,26
DC,2020-05-21,-58,-26,-50,-74,-66,26
DC,2020-05-22,-61,-27,-61,-74,-64,27
DC,2020-05-23,-60,-16,-30,-63,-34,11
DC,2020-05-24,-60,-27,-31,-67,-38,11
DC,2020-05-25,-62,-32,-16,-81,-78,25
DC,2020-05-26,-57,-25,-42,-73,-63,23
DC,2020-05-27,-57,-25,-46,-73,-64,25
DC,2020-05-28,-58,-27,-56,-74,-65,26
DC,2020-05-29,-56,-23,-44,-70,-60,24
DC,2020-05-30,-56,-15,-16,-57,-22,10
DC,2020-05-31,-54,-23,-1,-59,-24,9
DC,2020-06-01,-54,-30,-38,-69,-61,23
DC,2020-06-02,-54,-26,-30,-70,-63,23
DC,2020-06-03,-51,-19,-35,-69,-62,23
DC,2020-06-04,-54,-24,-40,-72,-63,24
DC,2020-06-05,-56,-23,-47,-69,-59,24
DC,2020-06-06,-53,-12,15,-36,-26,8
DC,2020-06-07,-51,-17,4,-55,-26,8
DC,2020-06-08,-51,-21,-30,-68,-59,22
DC,2020-06-09,-51,-20,-33,-70,-61,22
DC,2020-06-10,-53,-19,-44,-71,-61,22
DC,2020-06-11,-54,-23,-46,-71,-62,24
DC,2020-06-12,-52,-16,-29,-66,-57,20
DC,2020-06-13,-55,-12,-13,-54,-21,7
DC,2020-06-14,-52,-19,-2,-56,-23,7
DC,2020-06-15,-51,-23,-32,-67,-59,22
DC,2020-06-16,-50,-19,-32,-69,-60,21
DC,2020-06-17,-55,-26,-58,-71,-62,23
DC,2020-06-18,-51,-21,-37,-70,-61,22
DC,2020-06-19,-50,-18,-31,-63,-58,19
DC,2020-06-20,-58,-18,-46,-60,-22,9
DC,2020-06-21,-52,-18,-14,-57,-21,6
DC,2020-06-22,-53,-27,-44,-67,-61,22
DC,2020-06-23,-48,-19,-33,-68,-61,20
DC,2020-06-24,-47,-18,-29,-67,-59,20
DC,2020-06-25,-50,-22,-34,-67,-60,21
DC,2020-06-26,-49,-17,-27,-64,-56,19
DC,2020-06-27,-54,-17,-29,-55,-22,7
DC,2020-06-28,-52,-21,-18,-58,-19,7
DC,2020-06-29,-48,-23,-34,-65,-58,20
DC,2020-06-30,-46,-18,-33,-67,-58,19
DC,2020-07-01,-43,-14,-39,-66,-59,18
DC,2020-07-02,-42,-12,-32,-66,-59,17
DC,2020-07-03,-49,-15,-31,-71,-68,19
DC,2020-07-04,-57,-17,15,-54,-28,6
DC,2020-07-05,-54,-27,-26,-60,-25,6
DC,2020-07-06,-51,-25,-47,-67,-60,20
DC,2020-07-07,-48,-21,-41,-67,-61,20
DC,2020-07-08,-46,-17,-38,-68,-59,19
DC,2020-07-09,-48,-19,-34,-68,-60,20
DC,2020-07-10,-49,-19,-35,-66,-57,19
DC,2020-07-11,-52,-14,-25,-59,-20,7
DC,2020-07-12,-51,-21,-20,-61,-24,7
DC,2020-07-13,-48,-23,-35,-67,-59,20
DC,2020-07-14,-46,-18,-31,-68,-60,19
DC,2020-07-15,-46,-18,-35,-68,-59,19
DC,2020-07-16,-47,-21,-31,-69,-59,20
DC,2020-07-17,-47,-19,-26,-65,-56,18
DC,2020-07-18,-52,-14,-26,-60,-21,6
DC,2020-07-19,-51,-23,-27,-63,-25,7
DC,2020-07-20,-51,-26,-46,-69,-60,21
DC,2020-07-21,-47,-21,-42,-70,-60,20
DC,2020-07-22,-51,-27,-52,-71,-60,21
DC,2020-07-23,-47,-20,-39,-69,-59,20
DC,2020-07-24,-49,-21,-40,-68,-56,19
DC,2020-07-25,-50,-15,-18,-57,-22,6
Florida,2020-02-15,2,0,9,2,-1,-1
Florida,2020-02-16,4,1,8,2,-2,0
Florida,2020-02-17,5,1,24,0,-19,4
Florida,2020-02-18,3,2,13,6,1,0
Florida,2020-02-19,3,0,15,5,2,0
Florida,2020-02-20,2,1,10,4,1,0
Florida,2020-02-21,0,-1,-12,0,0,1
Florida,2020-02-22,3,0,8,2,1,0
Florida,2020-02-23,5,2,20,4,0,0
Florida,2020-02-24,3,1,12,3,2,0
Florida,2020-02-25,3,1,6,5,2,0
Florida,2020-02-26,5,1,-9,4,1,0
Florida,2020-02-27,8,6,2,7,2,-1
Florida,2020-02-28,5,4,4,5,1,-1
Florida,2020-02-29,6,4,8,6,2,-2
Florida,2020-03-01,8,7,10,7,1,-1
Florida,2020-03-02,7,7,8,3,1,0
Florida,2020-03-03,8,10,10,3,2,0
Florida,2020-03-04,6,6,14,1,1,0
Florida,2020-03-05,5,5,8,2,1,0
Florida,2020-03-06,3,3,9,-1,1,0
Florida,2020-03-07,4,3,13,2,2,-1
Florida,2020-03-08,4,3,-1,1,0,1
Florida,2020-03-09,5,5,6,-1,0,0
Florida,2020-03-10,5,6,11,1,0,0
Florida,2020-03-11,6,7,20,-1,0,0
Florida,2020-03-12,5,17,17,-2,-1,0
Florida,2020-03-13,1,22,14,-8,-5,2
Florida,2020-03-14,-6,16,8,-10,-1,2
Florida,2020-03-15,-9,9,12,-13,-6,3
Florida,2020-03-16,-6,14,0,-16,-18,6
Florida,2020-03-17,-11,14,1,-18,-22,8
Florida,2020-03-18,-19,7,0,-26,-26,10
Florida,2020-03-19,-23,6,-7,-33,-29,12
Florida,2020-03-20,-29,6,-15,-38,-31,14
Florida,2020-03-21,-39,-3,-33,-42,-26,11
Florida,2020-03-22,-43,-12,-33,-49,-33,11
Florida,2020-03-23,-37,-12,-33,-46,-36,15
Florida,2020-03-24,-38,-12,-33,-46,-39,16
Florida,2020-03-25,-38,-13,-33,-48,-40,17
Florida,2020-03-26,-40,-14,-34,-51,-42,18
Florida,2020-03-27,-44,-17,-38,-55,-43,20
Florida,2020-03-28,-49,-23,-48,-59,-36,14
Florida,2020-03-29,-50,-26,-48,-63,-41,13
Florida,2020-03-30,-42,-22,-42,-55,-43,17
Florida,2020-03-31,-42,-20,-46,-52,-45,19
Florida,2020-04-01,-37,-11,-41,-53,-45,18
Florida,2020-04-02,-39,-11,-42,-55,-46,19
Florida,2020-04-03,-47,-19,-49,-59,-48,22
Florida,2020-04-04,-53,-25,-57,-64,-40,16
Florida,2020-04-05,-57,-33,-70,-70,-45,15
Florida,2020-04-06,-47,-25,-50,-59,-48,19
Florida,2020-04-07,-46,-23,-46,-56,-49,20
Florida,2020-04-08,-46,-23,-45,-57,-49,20
Florida,2020-04-09,-46,-21,-46,-58,-50,21
Florida,2020-04-10,-47,-20,-48,-61,-53,23
Florida,2020-04-11,-49,-20,-54,-65,-40,15
Florida,2020-04-12,-66,-49,-63,-69,-50,15
Florida,2020-04-13,-47,-24,-53,-59,-47,19
Florida,2020-04-14,-46,-23,-52,-56,-48,20
Florida,2020-04-15,-42,-21,-53,-56,-47,20
Florida,2020-04-16,-44,-22,-56,-57,-48,21
Florida,2020-04-17,-44,-21,-47,-58,-47,21
Florida,2020-04-18,-49,-25,-60,-62,-38,15
Florida,2020-04-19,-48,-23,-52,-64,-40,13
Florida,2020-04-20,-44,-25,-54,-58,-46,19
Florida,2020-04-21,-41,-20,-43,-53,-46,19
Florida,2020-04-22,-41,-20,-40,-54,-46,19
Florida,2020-04-23,-43,-21,-47,-55,-47,20
Florida,2020-04-24,-47,-25,-60,-60,-47,23
Florida,2020-04-25,-45,-19,-52,-59,-36,13
Florida,2020-04-26,-47,-23,-52,-63,-40,12
Florida,2020-04-27,-38,-19,-39,-54,-44,17
Florida,2020-04-28,-38,-17,-39,-50,-45,13
Florida,2020-04-29,-38,-18,-36,-51,-45,18
Florida,2020-04-30,-40,-19,-47,-53,-46,19
Florida,2020-05-01,-36,-13,-27,-51,-43,18
Florida,2020-05-02,-40,-14,-31,-53,-32,11
Florida,2020-05-03,-40,-14,-30,-58,-35,10
Florida,2020-05-04,-32,-15,-30,-50,-41,15
Florida,2020-05-05,-31,-10,-29,-48,-41,16
Florida,2020-05-06,-33,-14,-26,-49,-41,16
Florida,2020-05-07,-33,-12,-23,-48,-41,16
Florida,2020-05-08,-33,-9,-20,-48,-40,17
Florida,2020-05-09,-33,-3,-26,-49,-28,9
Florida,2020-05-10,-35,-10,-51,-56,-31,9
Florida,2020-05-11,-31,-16,-28,-48,-39,14
Florida,2020-05-12,-30,-12,-24,-45,-39,15
Florida,2020-05-13,-29,-13,-21,-47,-39,15
Florida,2020-05-14,-31,-13,-29,-48,-39,13
Florida,2020-05-15,-33,-14,-34,-50,-39,17
Florida,2020-05-16,-32,-12,-28,-50,-26,9
Florida,2020-05-17,-33,-15,-20,-53,-28,9
Florida,2020-05-18,-31,-18,-42,-50,-37,14
Florida,2020-05-19,-26,-10,-27,-46,-37,14
Florida,2020-05-20,-25,-12,-20,-45,-37,14
Florida,2020-05-21,-26,-11,-22,-44,-37,14
Florida,2020-05-22,-26,-8,-16,-43,-36,14
Florida,2020-05-23,-28,-9,-17,-46,-22,7
Florida,2020-05-24,-30,-14,-26,-53,-27,8
Florida,2020-05-25,-34,-23,-40,-58,-68,22
Florida,2020-05-26,-27,-12,-34,-44,-35,14
Florida,2020-05-27,-24,-11,-20,-43,-35,13
Florida,2020-05-28,-24,-11,-25,-43,-34,13
Florida,2020-05-29,-24,-9,-20,-43,-33,14
Florida,2020-05-30,-26,-10,-16,-43,-15,7
Florida,2020-05-31,-26,-12,-13,-47,-19,7
Florida,2020-06-01,-21,-9,-24,-42,-33,11
Florida,2020-06-02,-22,-8,-25,-41,-33,12
Florida,2020-06-03,-22,-11,-30,-43,-34,13
Florida,2020-06-04,-24,-12,-38,-43,-34,14
Florida,2020-06-05,-23,-10,-27,-43,-33,13
Florida,2020-06-06,-28,-14,-48,-48,-18,8
Florida,2020-06-07,-27,-14,-40,-49,-21,8
Florida,2020-06-08,-22,-12,-25,-42,-32,11
Florida,2020-06-09,-20,-10,-20,-41,-32,12
Florida,2020-06-10,-20,-11,-15,-41,-33,11
Florida,2020-06-11,-20,-10,-14,-39,-33,11
Florida,2020-06-12,-20,-8,-3,-39,-32,11
Florida,2020-06-13,-23,-9,-9,-40,-14,5
Florida,2020-06-14,-22,-11,-10,-42,-17,5
Florida,2020-06-15,-19,-10,-13,-39,-32,10
Florida,2020-06-16,-18,-7,-4,-38,-32,11
Florida,2020-06-17,-19,-9,-5,-39,-33,11
Florida,2020-06-18,-20,-10,-15,-38,-33,11
Florida,2020-06-19,-21,-7,-13,-39,-34,10
Florida,2020-06-20,-21,-3,-6,-39,-15,5
Florida,2020-06-21,-21,-7,-8,-41,-17,4
Florida,2020-06-22,-21,-12,-13,-38,-35,10
Florida,2020-06-23,-20,-9,-11,-38,-35,11
Florida,2020-06-24,-20,-10,-8,-38,-34,11
Florida,2020-06-25,-21,-9,-10,-37,-34,11
Florida,2020-06-26,-24,-9,-10,-39,-34,12
Florida,2020-06-27,-26,-10,-13,-40,-17,6
Florida,2020-06-28,-26,-12,-15,-42,-17,6
Florida,2020-06-29,-21,-11,-17,-39,-35,11
Florida,2020-06-30,-20,-9,-16,-39,-35,11
Florida,2020-07-01,-19,-9,-16,-37,-35,11
Florida,2020-07-02,-16,-4,-10,-34,-37,11
Florida,2020-07-03,-19,0,-6,-42,-53,16
Florida,2020-07-04,-38,-15,-25,-52,-30,8
Florida,2020-07-05,-31,-21,-36,-45,-24,7
Florida,2020-07-06,-22,-13,-27,-39,-39,12
Florida,2020-07-07,-22,-10,-19,-38,-37,12
Florida,2020-07-08,-22,-12,-14,-39,-36,12
Florida,2020-07-09,-22,-10,-12,-39,-36,12
Florida,2020-07-10,-25,-12,-19,-42,-37,13
Florida,2020-07-11,-28,-13,-26,-44,-18,7
Florida,2020-07-12,-26,-13,-19,-44,-21,7
Florida,2020-07-13,-22,-12,-19,-41,-37,11
Florida,2020-07-14,-23,-11,-20,-41,-37,12
Florida,2020-07-15,-23,-13,-21,-42,-36,12
Florida,2020-07-16,-22,-10,-15,-41,-37,12
Florida,2020-07-17,-25,-13,-20,-43,-37,13
Florida,2020-07-18,-28,-14,-26,-46,-20,7
Florida,2020-07-19,-26,-14,-16,-45,-22,6
Florida,2020-07-20,-23,-14,-20,-42,-37,11
Florida,2020-07-21,-23,-13,-23,-42,-38,12
Florida,2020-07-22,-24,-16,-27,-44,-37,12
Florida,2020-07-23,-25,-16,-31,-43,-37,13
Florida,2020-07-24,-24,-13,-17,-43,-36,12
Florida,2020-07-25,-26,-14,-17,-44,-19,6
Georgia,2020-02-15,5,1,42,4,1,-1
Georgia,2020-02-16,-2,-5,-19,-5,-3,1
Georgia,2020-02-17,4,1,24,0,-19,4
Georgia,2020-02-18,-4,-5,-23,1,-5,3
Georgia,2020-02-19,2,0,2,3,-2,1
Georgia,2020-02-20,-6,-7,-36,-1,-4,4
Georgia,2020-02-21,2,-1,23,4,-3,0
Georgia,2020-02-22,5,0,48,4,4,-1
Georgia,2020-02-23,2,1,20,3,1,-1
Georgia,2020-02-24,-5,-4,-21,-2,1,1
Georgia,2020-02-25,5,2,9,1,2,0
Georgia,2020-02-26,9,3,5,4,1,-1
Georgia,2020-02-27,10,5,6,6,2,-1
Georgia,2020-02-28,9,4,30,7,2,-2
Georgia,2020-02-29,13,6,40,12,4,-3
Georgia,2020-03-01,13,7,49,8,2,-2
Georgia,2020-03-02,4,3,-9,0,2,0
Georgia,2020-03-03,10,11,0,0,1,0
Georgia,2020-03-04,3,0,-19,-2,0,1
Georgia,2020-03-05,1,0,-30,-1,-1,2
Georgia,2020-03-06,7,3,44,5,1,-2
Georgia,2020-03-07,10,5,79,9,5,-2
Georgia,2020-03-08,8,4,57,4,1,-1
Georgia,2020-03-09,7,8,53,0,2,-1
Georgia,2020-03-10,5,8,18,-3,-1,1
Georgia,2020-03-11,6,7,38,0,-1,0
Georgia,2020-03-12,8,24,23,-2,-1,0
Georgia,2020-03-13,3,33,39,-5,-8,1
Georgia,2020-03-14,-4,17,50,-4,0,2
Georgia,2020-03-15,-12,8,2,-13,-9,3
Georgia,2020-03-16,-8,18,-4,-20,-20,7
Georgia,2020-03-17,-14,13,12,-21,-25,11
Georgia,2020-03-18,-18,7,24,-24,-29,12
Georgia,2020-03-19,-21,10,27,-29,-31,13
Georgia,2020-03-20,-24,8,46,-30,-32,13
Georgia,2020-03-21,-31,4,33,-27,-18,9
Georgia,2020-03-22,-39,-10,-18,-42,-29,10
Georgia,2020-03-23,-35,-6,-40,-43,-38,16
Georgia,2020-03-24,-35,-6,-23,-40,-41,18
Georgia,2020-03-25,-33,-8,19,-39,-42,17
Georgia,2020-03-26,-34,-8,3,-43,-43,18
Georgia,2020-03-27,-35,-9,33,-45,-42,18
Georgia,2020-03-28,-39,-10,14,-43,-28,12
Georgia,2020-03-29,-42,-17,-2,-52,-37,11
Georgia,2020-03-30,-34,-10,2,-47,-44,16
Georgia,2020-03-31,-37,-11,-36,-46,-47,20
Georgia,2020-04-01,-30,1,-5,-44,-47,18
Georgia,2020-04-02,-29,11,-15,-46,-47,19
Georgia,2020-04-03,-37,0,4,-50,-48,20
Georgia,2020-04-04,-50,-18,-18,-53,-36,16
Georgia,2020-04-05,-50,-22,-13,-59,-42,13
Georgia,2020-04-06,-40,-15,-3,-52,-50,19
Georgia,2020-04-07,-40,-14,-18,-50,-51,21
Georgia,2020-04-08,-39,-14,-6,-49,-52,20
Georgia,2020-04-09,-37,-10,-10,-51,-51,21
Georgia,2020-04-10,-37,-9,13,-53,-54,22
Georgia,2020-04-11,-40,-5,3,-53,-36,13
Georgia,2020-04-12,-63,-42,-57,-65,-49,14
Georgia,2020-04-13,-38,-16,-6,-52,-48,18
Georgia,2020-04-14,-34,-12,0,-48,-47,19
Georgia,2020-04-15,-27,-8,-2,-46,-48,18
Georgia,2020-04-16,-30,-9,-6,-48,-47,20
Georgia,2020-04-17,-33,-12,27,-49,-46,19
Georgia,2020-04-18,-36,-10,9,-47,-31,12
Georgia,2020-04-19,-50,-27,-58,-62,-42,14
Georgia,2020-04-20,-31,-12,-4,-51,-46,18
Georgia,2020-04-21,-30,-9,6,-47,-46,19
Georgia,2020-04-22,-30,-11,11,-46,-47,18
Georgia,2020-04-23,-40,-19,-50,-53,-49,23
Georgia,2020-04-24,-31,-10,22,-48,-45,18
Georgia,2020-04-25,-32,-8,20,-45,-28,11
Georgia,2020-04-26,-34,-11,4,-53,-36,10
Georgia,2020-04-27,-25,-8,14,-47,-43,16
Georgia,2020-04-28,-24,-6,15,-43,-45,12
Georgia,2020-04-29,-27,-9,-19,-45,-45,18
Georgia,2020-04-30,-23,-4,-15,-44,-45,18
Georgia,2020-05-01,-21,-2,45,-41,-43,15
Georgia,2020-05-02,-23,-1,46,-36,-25,8
Georgia,2020-05-03,-26,-4,39,-47,-30,8
